0,209,735,Shady Grove
1,238,673,Rockville
2,280,618,Twinbrook
3,303,548,Grosvenor-Strathmore
4,315,485,Bethesda
5,334,423,Friendship Heights
6,363,404,Cleveland Park
7,376,373,Dupont Circle
8,394,332,Metro Center
9,421,323,Gallery Place
10,448,340,Judiciary Square
11,459,375,NoMa-Gallaudet (New York Ave.)
12,451,425,Fort Totten
13,423,471,Takoma
14,395,527,Silver Spring
15,376,620,Wheaton
16,579,535,Greenbelt
17,549,479,College Park
18,497,437,West Hyattsville
19,416,399,Georgia Avenue
20,408,373,Shaw-Howard
21,422,297,L’Enfant
22,448,275,Waterfront
23,466,228,Anacostia
24,537,230,Southern Avenue
25,577,194,Branch Avenue
26,639,417,New Carrollton
27,597,379,Cheverly
28,537,339,Minnesota Ave
29,494,307,Stadium-Armory
30,459,296,Federal Center
31,388,309,Federal Triangle
32,345,312,Rosslyn
33,370,268,Pentagon
34,388,232,Reagan
35,378,191,Braddock Road
36,359,152,King Street
37,263,138,Van Dorn Street
38,209,88,Franconia-Springfield
39,550,310,Benning Road
40,610,301,Addison Road
41,671,328,Largo Town Center
42,286,294,Virginia Square
43,222,300,East Falls Church
44,172,327,Dunn Loring
45,61,287,Vienna
